Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2008,1116.46,1116.93,1115.65,1110.61,1107.05,1104.98,1104.42,1105.13,1105.76,1107.94,1107.33,1110.97
2009,1111.78,1111.43,1107.4,1101.26,1096.92,1095.26,1094.2,1093.73,1093.68,1093.26,1093.52,1096.3
2010,1100.02,1103.21,1100.66,1098,1094.3,1089.3,1086.97,1086.91,1083.81,1082.36,1081.94,1086.3
2011,1091.73,1095.78,1096.39,1095.76,1097.9,1102.38,1107.07,1113.45,1116.04,1121,1125.82,1132.83
2012,1134.18,1133.06,1129.41,1123.93,1119.38,1115.84,1115.92,1116.56,1115.16,1116.5,1117.24,1120.36
2013,1122.32,1122.14,1118.59,1112.91,1108.36,1105.98,1105.92,1106.13,1106.92,1104.04,1106.36,1106.73
2014,1108.75,1107.94,1101.71,1094.55,1087.46,1082.66,1080.6,1081.55,1081.33,1082.79,1083.57,1087.79
2015,1088.51,1088.98,1084.87,1079.03,1076.57,1075.08,1078.15,1078.31,1078.1,1078.99,1078.23,1080.91
2016,1083.68,1084.17,1080.45,1076.13,1073.8,1071.64,1072.75,1075.17,1075.23,1076.34,1076.55,1080.82
2017,1086.08,1089.78,1088.26,1084.89,1081.56,1079.52,1079.03,1081.44,1082.05,1082.3,1080.95,1082.52
2018,1087.5,1088.21,1088.11,1084.49,1080,1076.81,1077.43,1078.88,1078.29,1078.52,1078.32,1081.46
2019,1085.75,1087.97,1090.24,1088.95,1086.48,1084.71,1082.82,1083.45,1083,1082.61,1083.85,1090.49
2020,1094.68,1096.27,1098.59,1096.39,1091.32,1087.07,1084.63,1084.04,1083.21,1081.88,1081.07,1083.72
2021,1085.95,1087.26,1084.39,1079.3,1073.5,1068.77,1067.65,1067.96,1067.68,1066.77,1064.97,1066.39
,,,,,,,,,,,,
