"User","PTR","MUI","FED","NIA","Code","Turnout"
"Ak-Chin",0.694444444444444,0,0.0744841633126222,0,"AKC","SGL"
"ASARCO",0,0.0338339686600782,0,0,"ASR","BLK"
"AWBA",0,0,0,0,"AWB","SGL"
"AZ State Land",0,0.0516789704162223,0,0,"ASL","HSY"
"AZWC",0,0.0292212709327542,0,0,"AWC","SGL"
"CAGRD",0,0.0103531944099839,0,0,"CGD","SGL"
"CAIDD",0,0,0,0,"CAD","SGL"
"Chandler",0.0594152046783626,0.0139428173706817,0,0.0168460458586804,"CHD","SGL"
"EPCOR",0,0.0298270600859061,0,0,"EPC","HSY"
"FMYN",0,0,0.0493843545337833,0,"FYN","HSY"
"Gilbert",0.0939181286549708,0.0116566077740793,0,0.0144633864673533,"GIL","SGL"
"Glendale",0.0416666666666667,0.0277696325631004,0,0.00292788054934251,"GLN","HSY"
"Goodyear",0,0.0173068805403124,0,0,"GYR","HSY"
"GRIC",0,0,0.517868073649941,0.517745446115407,"GRC","SGL"
"HIDD",0,0,0,0,"HID","SGL"
"HVID",0,0,0,0,"HVD","LHQ"
"Mesa",0.0383333333333333,0.0700894827913991,0,0.0238308869932556,"MSA","SGL"
"MSIDD",0,0,0,0,"MSD","SGL"
"MWD",0,0.0216859627697453,0,0,"MWD","HSY"
"Oro Valley",0,0.0166028117639098,0,0,"ORO","PIC"
"OTHER",0,0.0583893742004711,0.0757165376510674,0.128783813371227,"OTH","SGL"
"Peoria",0,0.0406587634812254,0,0,"PEO","HSY"
"Phoenix",0.0694444444444444,0.196887919339819,0,0.160046021817432,"PHX","HSY"
"SCAT",0,0.0292341600636723,0.117820403785421,0,"SCT","HSY"
"Scottsdale",0.00138888888888889,0.0850843754732728,0.00135425751477495,0.0141929224283378,"SDL","HSY"
"SRPMIC",0,0,0.0360232498930137,0,"SIC","HSY"
"Surprise",0,0.0165125878474829,0,0,"SUR","HSY"
"Tempe",0.00138888888888889,0.00695207498896368,0,9.87408396405833e-05,"TPE","HSY"
"Tohono O'odham",0,0,0.124049988353385,0.121064855559324,"TOH","BRW"
"Tucson",0,0.232312084526921,0,0,"TUC","BRW"
"WMAT",0,0,0.00329897130599178,0,"WMT","HSY"
